"AppObjectId","AppId","UserId","PermissionId"
"19986355-deb5-436b-9a99-b168ff04aaf9","de8bc8b5-d9f9-48b1-a8ad-b748da725064","f0510ca6-fc21-4ce6-acdb-e4e776cf43dc","9547fcb5-d03f-419d-9948-5928bbf71b0f"
"19986355-deb5-436b-9a99-b168ff04aaf9","de8bc8b5-d9f9-48b1-a8ad-b748da725064","f0510ca6-fc21-4ce6-acdb-e4e776cf43dc","2219042f-cab5-40cc-b0d2-16b1540b4c5f"
"19986355-deb5-436b-9a99-b168ff04aaf9","de8bc8b5-d9f9-48b1-a8ad-b748da725064","f0510ca6-fc21-4ce6-acdb-e4e776cf43dc","5fa075e9-b951-4165-947b-c63396ff0a37"
"19986355-deb5-436b-9a99-b168ff04aaf9","de8bc8b5-d9f9-48b1-a8ad-b748da725064","f0510ca6-fc21-4ce6-acdb-e4e776cf43dc","21f0d9c0-9f13-48b3-94e0-b6b231c7d320"
"19986355-deb5-436b-9a99-b168ff04aaf9","de8bc8b5-d9f9-48b1-a8ad-b748da725064","f0510ca6-fc21-4ce6-acdb-e4e776cf43dc","b46ffa80-fe3d-4822-9a1a-c200932d54d0"
"19986355-deb5-436b-9a99-b168ff04aaf9","de8bc8b5-d9f9-48b1-a8ad-b748da725064","f0510ca6-fc21-4ce6-acdb-e4e776cf43dc","7427e0e9-2fba-42fe-b0c0-848c9e6a8182"
"19986355-deb5-436b-9a99-b168ff04aaf9","de8bc8b5-d9f9-48b1-a8ad-b748da725064","f0510ca6-fc21-4ce6-acdb-e4e776cf43dc","b27add92-efb2-4f16-84f5-8108ba77985c"
"19986355-deb5-436b-9a99-b168ff04aaf9","de8bc8b5-d9f9-48b1-a8ad-b748da725064","f0510ca6-fc21-4ce6-acdb-e4e776cf43dc","df85f4d6-205c-4ac5-a5ea-6bf408dba283"
"19986355-deb5-436b-9a99-b168ff04aaf9","de8bc8b5-d9f9-48b1-a8ad-b748da725064","f0510ca6-fc21-4ce6-acdb-e4e776cf43dc","10465720-29dd-4523-a11a-6a75c743c9d9"
"19986355-deb5-436b-9a99-b168ff04aaf9","de8bc8b5-d9f9-48b1-a8ad-b748da725064","f0510ca6-fc21-4ce6-acdb-e4e776cf43dc","205e70e5-aba6-4c52-a976-6d2d46c48043"
"19986355-deb5-436b-9a99-b168ff04aaf9","de8bc8b5-d9f9-48b1-a8ad-b748da725064","f0510ca6-fc21-4ce6-acdb-e4e776cf43dc","5c28f0bf-8a70-41f1-8ab2-9032436ddb65"
"19986355-deb5-436b-9a99-b168ff04aaf9","de8bc8b5-d9f9-48b1-a8ad-b748da725064","f0510ca6-fc21-4ce6-acdb-e4e776cf43dc","347e3c16-30f3-4ac7-9b52-fc3c053de9c9"
"19986355-deb5-436b-9a99-b168ff04aaf9","de8bc8b5-d9f9-48b1-a8ad-b748da725064","f0510ca6-fc21-4ce6-acdb-e4e776cf43dc","bdfbf15f-ee85-4955-8675-146e8e5296b5"
"19986355-deb5-436b-9a99-b168ff04aaf9","de8bc8b5-d9f9-48b1-a8ad-b748da725064","f0510ca6-fc21-4ce6-acdb-e4e776cf43dc","572fea84-0151-49b2-9301-11cb16974376"
"19986355-deb5-436b-9a99-b168ff04aaf9","de8bc8b5-d9f9-48b1-a8ad-b748da725064","f0510ca6-fc21-4ce6-acdb-e4e776cf43dc","48971fc1-70d7-4245-af77-0beb29b53ee2"
"19986355-deb5-436b-9a99-b168ff04aaf9","de8bc8b5-d9f9-48b1-a8ad-b748da725064","f0510ca6-fc21-4ce6-acdb-e4e776cf43dc","c79f8feb-a9db-4090-85f9-90d820caa0eb"
"19986355-deb5-436b-9a99-b168ff04aaf9","de8bc8b5-d9f9-48b1-a8ad-b748da725064","f0510ca6-fc21-4ce6-acdb-e4e776cf43dc","15ce63de-b141-4c9a-a9a5-241bf27c6aaf"
"19986355-deb5-436b-9a99-b168ff04aaf9","de8bc8b5-d9f9-48b1-a8ad-b748da725064","f0510ca6-fc21-4ce6-acdb-e4e776cf43dc","46ca0847-7e6b-426e-9775-ea810a948356"
"19986355-deb5-436b-9a99-b168ff04aaf9","de8bc8b5-d9f9-48b1-a8ad-b748da725064","7b6f9a2c-73c8-4f0c-a207-20454b70645b","37f7f235-527c-4136-accd-4a02d197296e"
"19986355-deb5-436b-9a99-b168ff04aaf9","de8bc8b5-d9f9-48b1-a8ad-b748da725064","7b6f9a2c-73c8-4f0c-a207-20454b70645b","14dad69e-099b-42c9-810b-d002981feec1"
"19986355-deb5-436b-9a99-b168ff04aaf9","de8bc8b5-d9f9-48b1-a8ad-b748da725064","7b6f9a2c-73c8-4f0c-a207-20454b70645b","7427e0e9-2fba-42fe-b0c0-848c9e6a8182"
"19986355-deb5-436b-9a99-b168ff04aaf9","de8bc8b5-d9f9-48b1-a8ad-b748da725064","7b6f9a2c-73c8-4f0c-a207-20454b70645b","e1fe6dd8-ba31-4d61-89e7-88639da4683d"
"19986355-deb5-436b-9a99-b168ff04aaf9","de8bc8b5-d9f9-48b1-a8ad-b748da725064","7b6f9a2c-73c8-4f0c-a207-20454b70645b","570282fd-fa5c-430d-a7fd-fc8dc98a9dca"
"19986355-deb5-436b-9a99-b168ff04aaf9","de8bc8b5-d9f9-48b1-a8ad-b748da725064","f0510ca6-fc21-4ce6-acdb-e4e776cf43dc","7e204991-dcdd-4986-9ff0-d058192184d7"
